uuid,parentId,name,value
342be58a-f6eb-11ec-b939-0242ac120002,342b643e-f6eb-11ec-b939-0242ac120002,Sharing beliefs,1000
342be698-f6eb-11ec-b939-0242ac120002,342b6646-f6eb-11ec-b939-0242ac120002,Dance,1000
342be7a6-f6eb-11ec-b939-0242ac120002,342b6646-f6eb-11ec-b939-0242ac120002,Cuddles,1000
342be8c8-f6eb-11ec-b939-0242ac120002,342b6646-f6eb-11ec-b939-0242ac120002,Hugs,1000
342bec06-f6eb-11ec-b939-0242ac120002,342b6646-f6eb-11ec-b939-0242ac120002,Pets,1000
342bed14-f6eb-11ec-b939-0242ac120002,342b6646-f6eb-11ec-b939-0242ac120002,Massage,1000
342bee0e-f6eb-11ec-b939-0242ac120002,342b6646-f6eb-11ec-b939-0242ac120002,Hand-holding,1000
342bef08-f6eb-11ec-b939-0242ac120002,342b6646-f6eb-11ec-b939-0242ac120002,Nudity,1000
342bf00c-f6eb-11ec-b939-0242ac120002,342b6646-f6eb-11ec-b939-0242ac120002,Kisses,1000
342bf110-f6eb-11ec-b939-0242ac120002,342b6646-f6eb-11ec-b939-0242ac120002,Co-sleeping,1000
342bf20a-f6eb-11ec-b939-0242ac120002,342b6646-f6eb-11ec-b939-0242ac120002,Body contact,1000
342bf4d0-f6eb-11ec-b939-0242ac120002,342b6984-f6eb-11ec-b939-0242ac120002,Sadomasochism,1000
342bf5de-f6eb-11ec-b939-0242ac120002,342b6984-f6eb-11ec-b939-0242ac120002,Sadism,1000
342bf6f6-f6eb-11ec-b939-0242ac120002,342b6984-f6eb-11ec-b939-0242ac120002,Fetishes,1000
342bf85e-f6eb-11ec-b939-0242ac120002,342b6984-f6eb-11ec-b939-0242ac120002,Masochism,1000
342bf96c-f6eb-11ec-b939-0242ac120002,342b6e3e-f6eb-11ec-b939-0242ac120002,Visual art,1000
342bfa66-f6eb-11ec-b939-0242ac120002,342b6e3e-f6eb-11ec-b939-0242ac120002,Craft,1000
342bfb56-f6eb-11ec-b939-0242ac120002,342b6e3e-f6eb-11ec-b939-0242ac120002,Music,1000
342bfc50-f6eb-11ec-b939-0242ac120002,342b6e3e-f6eb-11ec-b939-0242ac120002,Yoga,1000
342bff8e-f6eb-11ec-b939-0242ac120002,342b6e3e-f6eb-11ec-b939-0242ac120002,Comedy,1000
342c0092-f6eb-11ec-b939-0242ac120002,342b6e3e-f6eb-11ec-b939-0242ac120002,Acrobatics,1000
342c0196-f6eb-11ec-b939-0242ac120002,342b6e3e-f6eb-11ec-b939-0242ac120002,Dance,1000
342c0290-f6eb-11ec-b939-0242ac120002,342b6e3e-f6eb-11ec-b939-0242ac120002,Theatre,1000
342c038a-f6eb-11ec-b939-0242ac120002,342b6e3e-f6eb-11ec-b939-0242ac120002,Improv,1000
342c0484-f6eb-11ec-b939-0242ac120002,342b6e3e-f6eb-11ec-b939-0242ac120002,Martial arts,1000
342c057e-f6eb-11ec-b939-0242ac120002,342b6326-f6eb-11ec-b939-0242ac120002,Boss - Employee,1000
342c093e-f6eb-11ec-b939-0242ac120002,342b6326-f6eb-11ec-b939-0242ac120002,Sponsor - Sponsee,1000
342c0a60-f6eb-11ec-b939-0242ac120002,342b6326-f6eb-11ec-b939-0242ac120002,Teacher - Student,1000
342c0b5a-f6eb-11ec-b939-0242ac120002,342b6326-f6eb-11ec-b939-0242ac120002,Mentor - Guide,1000
342c0c54-f6eb-11ec-b939-0242ac120002,342b6542-f6eb-11ec-b939-0242ac120002,Sexual exclusivity,1000
342c0d58-f6eb-11ec-b939-0242ac120002,342b6542-f6eb-11ec-b939-0242ac120002,Emotional exclusivity,1000
342c0e5c-f6eb-11ec-b939-0242ac120002,342b6542-f6eb-11ec-b939-0242ac120002,Social exclusivity,1000
342c0f4c-f6eb-11ec-b939-0242ac120002,342b6542-f6eb-11ec-b939-0242ac120002,Structural exclusivity,1000
342c1050-f6eb-11ec-b939-0242ac120002,342b6754-f6eb-11ec-b939-0242ac120002,Health,1000
342c1316-f6eb-11ec-b939-0242ac120002,342b6754-f6eb-11ec-b939-0242ac120002,Sponsorship,1000
342c1424-f6eb-11ec-b939-0242ac120002,342b6754-f6eb-11ec-b939-0242ac120002,Reliability,1000
342c151e-f6eb-11ec-b939-0242ac120002,342b6754-f6eb-11ec-b939-0242ac120002,Emergencies,1000
342c1618-f6eb-11ec-b939-0242ac120002,342b6754-f6eb-11ec-b939-0242ac120002,End of life / Death,1000
342c171c-f6eb-11ec-b939-0242ac120002,342b6754-f6eb-11ec-b939-0242ac120002,Receiving care from,1000
342c182a-f6eb-11ec-b939-0242ac120002,342b6754-f6eb-11ec-b939-0242ac120002,Giving care to,1000
342c19ce-f6eb-11ec-b939-0242ac120002,342b6862-f6eb-11ec-b939-0242ac120002,Shared ritual,1000
342c1cd0-f6eb-11ec-b939-0242ac120002,342b6862-f6eb-11ec-b939-0242ac120002,Shared beliefs,1000
342c1dd4-f6eb-11ec-b939-0242ac120002,342b6862-f6eb-11ec-b939-0242ac120002,Discussions,1000
342c1ed8-f6eb-11ec-b939-0242ac120002,342b6d1c-f6eb-11ec-b939-0242ac120002,Partner,1000
342c1fd2-f6eb-11ec-b939-0242ac120002,342b6d1c-f6eb-11ec-b939-0242ac120002,Chosen family,1000
342c20e0-f6eb-11ec-b939-0242ac120002,342b6d1c-f6eb-11ec-b939-0242ac120002,Spouse,1000
342c272a-f6eb-11ec-b939-0242ac120002,342b6d1c-f6eb-11ec-b939-0242ac120002,Datemate,1000
